GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1015484051,20211122,202111,2021,2021.8822,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,042,042,04,1,1.9,8,1,4,1.81159420289855,0,,,,,,,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,20211122,https://www.mysanantonio.com/entertainment/article/Whoopi-Goldberg-Inks-Multi-Year-Deal-The-View-16639879.php
1015484175,20211122,202111,2021,2021.8822,CAN,CANADA,CAN,,,,,,,,,,,,,,,,,,1,120,120,12,3,-4.0,4,1,4,-2.11640211640211,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,0,,,,,,,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,20211122,https://www.tsn.ca/og-anunoby-yuta-watanabe-injuries-toronto-raptors-golden-state-warriors-1.1724401
1015484194,20211122,202111,2021,2021.8822,CAN,CANADA,CAN,,,,,,,,USA,GOLDEN STATE,USA,,,,,,,,1,120,120,12,3,-4.0,4,1,4,-2.11640211640211,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,20211122,https://www.tsn.ca/og-anunoby-yuta-watanabe-injuries-toronto-raptors-golden-state-warriors-1.1724401
1015484785,20211122,202111,2021,2021.8822,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,042,042,04,1,1.9,210,23,197,2.22463539874932,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,0,,,,,,,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,20211122,https://www.mysanantonio.com/entertainment/article/Whoopi-Goldberg-Inks-Multi-Year-Deal-The-View-16639879.php
1015484789,20211122,202111,2021,2021.8822,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,043,043,04,1,2.8,132,17,109,0.469330465552208,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,0,,,,,,,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,20211122,https://www.mysanantonio.com/entertainment/article/Whoopi-Goldberg-Inks-Multi-Year-Deal-The-View-16639879.php
1015485033,20211122,202111,2021,2021.8822,,,,,,,,,,,GIN,GUINEA,GIN,,,,,,,,1,036,036,03,1,4.0,3,1,3,3.96694214876033,0,,,,,,,4,"Siguiri, Prefecture de Siguiri, Guinea",GV,GV39,11.4167,-9.16667,-1185188,4,"Siguiri, Prefecture de Siguiri, Guinea",GV,GV39,11.4167,-9.16667,-1185188,20211122,https://www.proactiveinvestors.com.au/companies/news/966864/polymetals-resources-kicks-off-auger-drilling-at-alahine-in-gold-rich-siguiri-basin-in-guinea-966864.html
1015485061,20211122,202111,2021,2021.8822,,,,,,,,,,,NZL,NEW ZEALAND,NZL,,,,,,,,1,036,036,03,1,4.0,2,1,2,3.42857142857143,0,,,,,,,1,New Zealand,NZ,NZ,-42,174,NZ,1,New Zealand,NZ,NZ,-42,174,NZ,20211122,https://radioinfo.com.au/news/andrew-dickens-to-host-newstalk-zb-drive-show-and-grant-kereama-returns-to-breakfast-radio-on-gold-fm/
1015485400,20211122,202111,2021,2021.8822,GIN,GUINEA,GIN,,,,,,,,,,,,,,,,,,1,036,036,03,1,4.0,3,1,3,3.96694214876033,4,"Saourou, Prefecture de Siguiri, Guinea",GV,GV39,11.5167,-9.01667,-1184904,0,,,,,,,4,"Saourou, Prefecture de Siguiri, Guinea",GV,GV39,11.5167,-9.01667,-1184904,20211122,https://www.proactiveinvestors.com.au/companies/news/966864/polymetals-resources-kicks-off-auger-drilling-at-alahine-in-gold-rich-siguiri-basin-in-guinea-966864.html
1015485672,20211122,202111,2021,2021.8822,MYS,MALAYSIA,MYS,,,,,,,,BUS,INDUSTRY,,,,,,BUS,,,1,051,051,05,1,3.4,10,1,10,9.75609756097561,4,"Petaling, Malaysia (general), Malaysia",MY,MY00,3.08333,101.667,-2403014,4,"Petaling, Malaysia (general), Malaysia",MY,MY00,3.08333,101.667,-2403014,4,"Petaling, Malaysia (general), Malaysia",MY,MY00,3.08333,101.667,-2403014,20211122,https://www.thestar.com.my/business/business-news/2021/11/22/4as-celebrates--------------golden-anniversary
1015485673,20211122,202111,2021,2021.8822,MYS,MALAYSIA,MYS,,,,,,,,NRMRAC020,CREATIVITY,,,,NRM,,,,,1,111,111,11,3,-2.0,2,1,2,9.75609756097561,4,"Petaling, Malaysia (general), Malaysia",MY,MY00,3.08333,101.667,-2403014,4,"Petaling, Malaysia (general), Malaysia",MY,MY00,3.08333,101.667,-2403014,4,"Petaling, Malaysia (general), Malaysia",MY,MY00,3.08333,101.667,-2403014,20211122,https://www.thestar.com.my/business/business-news/2021/11/22/4as-celebrates--------------golden-anniversary
1015485697,20211122,202111,2021,2021.8822,NZL,NEW ZEALAND,NZL,,,,,,,,,,,,,,,,,,1,036,036,03,1,4.0,30,4,30,0.0629107924458051,1,New Zealand,NZ,NZ,-42,174,NZ,0,,,,,,,1,New Zealand,NZ,NZ,-42,174,NZ,20211122,https://radioinfo.com.au/news/andrew-dickens-to-host-newstalk-zb-drive-show-and-grant-kereama-returns-to-breakfast-radio-on-gold-fm/
1015486646,20211122,202111,2021,2021.8822,GBR,UNITED KINGDOM,GBR,,,,,,,,NLD,NETHERLANDS,NLD,,,,,,,,0,043,043,04,1,2.8,2,1,2,1.61030595813205,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,1,Netherlands,NL,NL,52.5,5.75,NL,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20211122,https://www.nytimes.com/2021/11/21/theater/review-the-alchemist-a-play-in-search-of-comedy-gold.html
1015486649,20211122,202111,2021,2021.8822,GBR,UNITED KINGDOM,GBR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,043,043,04,1,2.8,2,1,2,1.61030595813205,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20211122,https://www.nytimes.com/2021/11/21/theater/review-the-alchemist-a-play-in-search-of-comedy-gold.html
1015486942,20211122,202111,2021,2021.8822,NLD,NETHERLANDS,NLD,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,042,042,04,1,1.9,194,25,194,0.472922876623157,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20211122,https://www.nytimes.com/2021/11/21/theater/review-the-alchemist-a-play-in-search-of-comedy-gold.html
1015487040,20211122,202111,2021,2021.8822,USA,UNITED STATES,USA,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,042,042,04,1,1.9,12,2,12,-0.070333402256935,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20211122,https://www.nytimes.com/2021/11/21/theater/review-the-alchemist-a-play-in-search-of-comedy-gold.html
1015487809,20211122,202111,2021,2021.8822,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,0831,083,08,2,5.0,5,3,5,-1.82305854194918,0,,,,,,,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20211122,https://www.mediaite.com/news/jonah-goldberg-and-stephen-hayes-resign-as-fox-news-contributors-in-protest-over-tucker-carlsons-revisionist-history-jan-6-special/
1015488057,20211122,202111,2021,2021.8822,GHA,GHANA,GHA,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,0,112,112,11,3,-2.0,8,1,8,-0.57971014492753,1,Ghana,GH,GH,8,-2,GH,1,Ghana,GH,GH,8,-2,GH,1,Ghana,GH,GH,8,-2,GH,20211122,https://www.goldcoastbulletin.com.au/coronavirus/premier-annastacia-palaszczuk-to-make-major-covid19-announcement-at-the-gold-coast/news-story/dc53c1eff0a0565d1fc3e67fc7be4739?nk=2885876e9be3854842c819be3643d365-1637544696
1015488102,20211122,202111,2021,2021.8822,GOV,MAYOR,,,,,,GOV,,,CVL,TRAVELLER,,,,,,CVL,,,1,020,020,02,1,3.0,10,1,10,-0.57971014492753,1,Ghana,GH,GH,8,-2,GH,1,Ghana,GH,GH,8,-2,GH,1,Ghana,GH,GH,8,-2,GH,20211122,https://www.goldcoastbulletin.com.au/coronavirus/premier-annastacia-palaszczuk-to-make-major-covid19-announcement-at-the-gold-coast/news-story/dc53c1eff0a0565d1fc3e67fc7be4739?nk=2885876e9be3854842c819be3643d365-1637544696
1015488276,20211122,202111,2021,2021.8822,MEDMED,MEDIA,,,,,,MED,MED,,USA,NEW YORK,USA,,,,,,,,1,040,040,04,1,1.0,6,1,6,-2.9082774049217,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20211122,https://www.mediaite.com/news/jonah-goldberg-and-stephen-hayes-resign-as-fox-news-contributors-in-protest-over-tucker-carlsons-revisionist-history-jan-6-special/
