GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
965214227,20210120,202101,2021,2021.0548,,,,,,,,,,,AUS,SYDNEY,AUS,,,,,,,,1,043,043,04,1,2.8,305,29,296,-1.54990254248358,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965214233,20210120,202101,2021,2021.0548,,,,,,,,,,,AUSGOV,AUSTRALIA,AUS,,,,,GOV,,,1,040,040,04,1,1.0,4,2,4,-3.27014323583792,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965214328,20210120,202101,2021,2021.0548,,,,,,,,,,,GOV,PREMIER,,,,,,GOV,,,1,040,040,04,1,1.0,12,2,12,-3.27014323583792,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965214632,20210120,202101,2021,2021.0548,AUS,SYDNEY,AUS,,,,,,,,,,,,,,,,,,1,020,020,02,1,3.0,120,13,120,-1.21766708989627,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965214635,20210120,202101,2021,2021.0548,AUS,SYDNEY,AUS,,,,,,,,,,,,,,,,,,1,042,042,04,1,1.9,249,27,246,-1.60638834111616,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965214649,20210120,202101,2021,2021.0548,AUS,SYDNEY,AUS,,,,,,,,GOV,MINIST,,,,,,GOV,,,1,040,040,04,1,1.0,72,4,60,-3.28202386521426,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965214661,20210120,202101,2021,2021.0548,AUSGOV,AUSTRALIA,AUS,,,,,GOV,,,,,,,,,,,,,1,040,040,04,1,1.0,20,4,20,-3.28439999108953,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965214663,20210120,202101,2021,2021.0548,AUSGOV,AUSTRALIA,AUS,,,,,GOV,,,,,,,,,,,,,0,080,080,08,2,5.0,12,4,12,-3.28202386521426,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965214711,20210120,202101,2021,2021.0548,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,1,0831,083,08,2,5.0,6,2,6,1.43282648314881,4,"Golden Lake, Ontario, Canada",CA,CA08,45.5833,-77.25,-565335,0,,,,,,,4,"Golden Lake, Ontario, Canada",CA,CA08,45.5833,-77.25,-565335,20210120,https://www.finanznachrichten.de/nachrichten-2021-01/51774145-golden-lake-exploration-inc-golden-lake-announces-resignation-200.htm
965214717,20210120,202101,2021,2021.0548,BUS,COMPANY,,,,,,BUS,,,CAN,CANADA,CAN,,,,,,,,1,0831,083,08,2,5.0,4,2,4,1.43282648314881,4,"Golden Lake, Ontario, Canada",CA,CA08,45.5833,-77.25,-565335,4,"Golden Lake, Ontario, Canada",CA,CA08,45.5833,-77.25,-565335,4,"Golden Lake, Ontario, Canada",CA,CA08,45.5833,-77.25,-565335,20210120,https://www.finanznachrichten.de/nachrichten-2021-01/51774145-golden-lake-exploration-inc-golden-lake-announces-resignation-200.htm
965214749,20210120,202101,2021,2021.0548,CAN,VANCOUVER,CAN,,,,,,,,,,,,,,,,,,1,0831,083,08,2,5.0,10,2,10,1.43282648314881,4,"Golden Lake, Ontario, Canada",CA,CA08,45.5833,-77.25,-565335,0,,,,,,,4,"Golden Lake, Ontario, Canada",CA,CA08,45.5833,-77.25,-565335,20210120,https://www.finanznachrichten.de/nachrichten-2021-01/51774145-golden-lake-exploration-inc-golden-lake-announces-resignation-200.htm
965215296,20210120,202101,2021,2021.0548,GOV,PREMIER,,,,,,GOV,,,,,,,,,,,,,1,040,040,04,1,1.0,60,4,60,-3.28439999108953,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965215337,20210120,202101,2021,2021.0548,GOV,PREMIER,,,,,,GOV,,,,,,,,,,,,,1,080,080,08,2,5.0,84,6,74,-2.81509319410992,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965215378,20210120,202101,2021,2021.0548,GOV,MINIST,,,,,,GOV,,,AUS,SYDNEY,AUS,,,,,,,,1,040,040,04,1,1.0,72,4,60,-3.28202386521426,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965216002,20210120,202101,2021,2021.0548,MED,MEDIA,,,,,,MED,,,,,,,,,,,,,0,084,084,08,2,7.0,30,4,30,-3.28202386521426,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,0,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20210120,https://www.goldcoastbulletin.com.au/lifestyle/health/coronavirus-nsw-gladys-berejiklian-ministers-to-discuss-easing-sydney-restrictions-within-days/news-story/719dfb8d9c46004d1e8390d1d8952e6b?nk=60cc2335e0bda3e017103430bfcb90d5-1611099982
965216100,20210120,202101,2021,2021.0548,MLI,MALI,MLI,,,,,,,,,,,,,,,,,,1,141,141,14,3,-6.5,8,2,8,1.4259144451333,4,"Kabaya, Mali (general), Mali",ML,ML00,11.1167,-8.56667,-1069305,0,,,,,,,4,"Kabaya, Mali (general), Mali",ML,ML00,11.1167,-8.56667,-1069305,20210120,https://www.nashvilleherald.com/news/267585558/roscan-gold-intersects-30m-at-296gpt-20m-at-238gpt-and-17m-at-266gpt-at-kabaya-and-significantly-extends-gold-mineralization-to-196m-depth
965216101,20210120,202101,2021,2021.0548,MLI,MALI,MLI,,,,,,,,,,,,,,,,,,1,141,141,14,3,-6.5,8,2,8,1.4259144451333,4,"Kandiole, Kayes, Mali",ML,ML03,12.5036,-11.2393,-1069566,0,,,,,,,4,"Kandiole, Kayes, Mali",ML,ML03,12.5036,-11.2393,-1069566,20210120,https://www.nashvilleherald.com/news/267585558/roscan-gold-intersects-30m-at-296gpt-20m-at-238gpt-and-17m-at-266gpt-at-kabaya-and-significantly-extends-gold-mineralization-to-196m-depth
965218173,20210120,202101,2021,2021.0548,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,1,030,030,03,1,4.0,20,2,20,3.51089536385162,4,"Gold Mountain, British Columbia, Canada",CA,CA02,49.0833,-115.35,-565340,0,,,,,,,4,"Gold Mountain, British Columbia, Canada",CA,CA02,49.0833,-115.35,-565340,20210120,https://www.torontotelegraph.com/news/267586567/gold-mountain-mining-corp-signs-mining-contract-with-nhwelmen-lake-lp
965218672,20210120,202101,2021,2021.0548,GHA,GHANA,GHA,,,,,,,,,,,,,,,,,,1,020,020,02,1,3.0,26,3,26,6.59417867714448,1,Ghana,GH,GH,8,-2,GH,0,,,,,,,1,Ghana,GH,GH,8,-2,GH,20210120,https://www.goldcoastbulletin.com.au/news/gold-coast/best-of-gold-coast-nominate-the-best-cafe-now/news-story/1d65c7689c27df24048970f4ac2f4190?nk=de9f1410461148cb8afe15e8ef9d1d86-1611100985
965218791,20210120,202101,2021,2021.0548,GOV,REGULATOR,,,,,,GOV,,,CAN,CANADA,CAN,,,,,,,,0,090,090,09,2,-2.0,16,2,16,3.51089536385162,4,"Gold Mountain, British Columbia, Canada",CA,CA02,49.0833,-115.35,-565340,4,"Gold Mountain, British Columbia, Canada",CA,CA02,49.0833,-115.35,-565340,4,"Gold Mountain, British Columbia, Canada",CA,CA02,49.0833,-115.35,-565340,20210120,https://www.torontotelegraph.com/news/267586567/gold-mountain-mining-corp-signs-mining-contract-with-nhwelmen-lake-lp
965219289,20210120,202101,2021,2021.0548,MIL,CAPTAIN,,,,,,MIL,,,,,,,,,,,,,1,071,071,07,2,7.4,10,1,10,2.66666666666667,0,,,,,,,0,,,,,,,0,,,,,,,20210120,https://www.goldcoastbulletin.com.au/news/national/thanksamillion/thanks-a-million-keeping-doors-open-for-the-homeless-amid-crisis/news-story/ec177145cf86bd5cc39059f6410ee866?nk=f59b699a79946c2becfbfa7576f2e104-1611100952
965219307,20210120,202101,2021,2021.0548,MIL,CAPTAIN,,,,,,MIL,,,CVL,COMMUNITY,,,,,,CVL,,,1,030,030,03,1,4.0,10,1,10,2.66666666666667,0,,,,,,,0,,,,,,,0,,,,,,,20210120,https://www.goldcoastbulletin.com.au/news/national/thanksamillion/thanks-a-million-keeping-doors-open-for-the-homeless-amid-crisis/news-story/ec177145cf86bd5cc39059f6410ee866?nk=f59b699a79946c2becfbfa7576f2e104-1611100952
965219308,20210120,202101,2021,2021.0548,MIL,CAPTAIN,,,,,,MIL,,,CVL,COMMUNITY,,,,,,CVL,,,1,070,070,07,2,7.0,40,3,30,4.94889228851494,0,,,,,,,0,,,,,,,0,,,,,,,20210120,https://www.goldcoastbulletin.com.au/news/national/thanksamillion/thanks-a-million-keeping-doors-open-for-the-homeless-amid-crisis/news-story/ec177145cf86bd5cc39059f6410ee866?nk=f59b699a79946c2becfbfa7576f2e104-1611100952
965222577,20210120,202101,2021,2021.0548,DEU,GERMANY,DEU,,,,,,,,JPN,JAPAN,JPN,,,,,,,,1,120,120,12,3,-4.0,10,1,10,-0.22675736961452,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20210120,https://mercatornet.com/are-we-entering-the-golden-age-of-the-worker/69597/
965225067,20210120,202101,2021,2021.0548,,,,,,,,,,,BUS,COMPANY,,,,,,BUS,,,1,046,046,04,1,7.0,1,1,1,-2.88461538461539,0,,,,,,,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,20210120,https://www.proactiveinvestors.com/companies/news/938906/condor-gold-adds-second-drill-rig-as-they-look-to-ramp-up-drill-program-at-la-india-project-938906.html
965225317,20210120,202101,2021,2021.0548,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,1,046,046,04,1,7.0,21,2,21,-2.89655996177735,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,0,,,,,,,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,20210120,https://www.proactiveinvestors.com/companies/news/938906/condor-gold-adds-second-drill-rig-as-they-look-to-ramp-up-drill-program-at-la-india-project-938906.html
965225357,20210120,202101,2021,2021.0548,BUS,COMPANY,,,,,,BUS,,,NIC,NICARAGUA,NIC,,,,,,,,1,046,046,04,1,7.0,99,2,99,-2.89601702645181,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,20210120,https://www.proactiveinvestors.com/companies/news/938906/condor-gold-adds-second-drill-rig-as-they-look-to-ramp-up-drill-program-at-la-india-project-938906.html
965226250,20210120,202101,2021,2021.0548,NIC,NICARAGUA,NIC,,,,,,,,BUS,COMPANY,,,,,,BUS,,,1,046,046,04,1,7.0,99,2,99,-2.89601702645181,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,4,"La India, LeóU, Nicaragua",NU,NU08,12.7485,-86.3022,-1112405,20210120,https://www.proactiveinvestors.com/companies/news/938906/condor-gold-adds-second-drill-rig-as-they-look-to-ramp-up-drill-program-at-la-india-project-938906.html
965227922,20210120,202101,2021,2021.0548,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,1,0831,083,08,2,5.0,6,1,6,-0.59171597633136,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20210120,https://www.northernminer.com/fast-news/solgold-ceo-nick-mather-to-retire-after-shareholder-pressure/1003827298/
965228198,20210120,202101,2021,2021.0548,ECU,ECUADOR,ECU,,,,,,,,BUS,COMPANY,,,,,,BUS,,,1,0831,083,08,2,5.0,4,1,4,-0.59171597633136,1,Ecuador,EC,EC,-2,-77.5,EC,1,Ecuador,EC,EC,-2,-77.5,EC,1,Ecuador,EC,EC,-2,-77.5,EC,20210120,https://www.northernminer.com/fast-news/solgold-ceo-nick-mather-to-retire-after-shareholder-pressure/1003827298/
965228199,20210120,202101,2021,2021.0548,ECU,ECUADOR,ECU,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,0831,083,08,2,5.0,4,1,4,-0.59171597633136,1,Ecuador,EC,EC,-2,-77.5,EC,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,1,Ecuador,EC,EC,-2,-77.5,EC,20210120,https://www.northernminer.com/fast-news/solgold-ceo-nick-mather-to-retire-after-shareholder-pressure/1003827298/
965228820,20210120,202101,2021,2021.0548,RAD,EXTREMIST,,,,,,RAD,,,USAGOV,THE US,USA,,,,,GOV,,,0,180,180,18,4,-9.0,5,1,5,-7.46054519368723,4,"Saigon, H? Chíinh, Vietnam, Republic Of",VM,VM20,10.75,106.667,-3730078,4,"Saigon, H? Chíinh, Vietnam, Republic Of",VM,VM20,10.75,106.667,-3730078,4,"Saigon, H? Chíinh, Vietnam, Republic Of",VM,VM20,10.75,106.667,-3730078,20210120,"https://www.expertclick.com/NewsRelease/US-Homeland-Tet-Offensive-Albert-Goldson-,2021241325.aspx"
965228821,20210120,202101,2021,2021.0548,RAD,EXTREMIST,,,,,,RAD,,,USAGOV,THE US,USA,,,,,GOV,,,0,180,180,18,4,-9.0,1,1,1,-7.46054519368723,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20210120,"https://www.expertclick.com/NewsRelease/US-Homeland-Tet-Offensive-Albert-Goldson-,2021241325.aspx"
965229010,20210120,202101,2021,2021.0548,USA,THE US,USA,,,,,,,,,,,,,,,,,,0,190,190,19,4,-10.0,5,1,5,-7.46054519368723,1,Iraq,IZ,IZ,33,44,IZ,0,,,,,,,1,Iraq,IZ,IZ,33,44,IZ,20210120,"https://www.expertclick.com/NewsRelease/US-Homeland-Tet-Offensive-Albert-Goldson-,2021241325.aspx"
965229308,20210120,202101,2021,2021.0548,VNM,VIETNAM,VNM,,,,,,,,,,,,,,,,,,0,111,111,11,3,-2.0,5,1,5,-7.46054519368723,4,"South Vietnam, Vietnam (general), Vietnam, Republic Of",VM,VM00,11,107,-3722886,0,,,,,,,4,"South Vietnam, Vietnam (general), Vietnam, Republic Of",VM,VM00,11,107,-3722886,20210120,"https://www.expertclick.com/NewsRelease/US-Homeland-Tet-Offensive-Albert-Goldson-,2021241325.aspx"
965229309,20210120,202101,2021,2021.0548,VNM,VIETNAM,VNM,,,,,,,,,,,,,,,,,,0,180,180,18,4,-9.0,5,1,5,-7.46054519368723,4,"South Vietnam, Vietnam (general), Vietnam, Republic Of",VM,VM00,11,107,-3722886,0,,,,,,,4,"South Vietnam, Vietnam (general), Vietnam, Republic Of",VM,VM00,11,107,-3722886,20210120,"https://www.expertclick.com/NewsRelease/US-Homeland-Tet-Offensive-Albert-Goldson-,2021241325.aspx"
965229310,20210120,202101,2021,2021.0548,VNM,VIETNAMESE,VNM,,,,,,,,,,,,,,,,,,1,190,190,19,4,-10.0,7,1,7,-7.46054519368723,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20210120,"https://www.expertclick.com/NewsRelease/US-Homeland-Tet-Offensive-Albert-Goldson-,2021241325.aspx"
965232583,20210120,202101,2021,2021.0548,,,,,,,,,,,CRM,PIRATE,,,,,,CRM,,,0,046,046,04,1,7.0,10,1,10,0.45045045045045,0,,,,,,,0,,,,,,,0,,,,,,,20210120,https://comicbook.com/anime/news/one-piece-garp-marine-admiral-refusal-explained-gold-roger-god-valley-anime/
965233108,20210120,202101,2021,2021.0548,CRM,PIRATE,,,,,,CRM,,,,,,,,,,,,,1,046,046,04,1,7.0,20,3,20,-4.13365172401317,0,,,,,,,0,,,,,,,0,,,,,,,20210120,https://comicbook.com/anime/news/one-piece-garp-marine-admiral-refusal-explained-gold-roger-god-valley-anime/
965233911,20210120,202101,2021,2021.0548,MIL,NAVY,,,,,,MIL,,,,,,,,,,,,,1,051,051,05,1,3.4,75,6,55,-0.782634128605735,0,,,,,,,0,,,,,,,0,,,,,,,20210120,https://comicbook.com/anime/news/one-piece-garp-marine-admiral-refusal-explained-gold-roger-god-valley-anime/
965233914,20210120,202101,2021,2021.0548,MIL,ADMIRAL,,,,,,MIL,,,,,,,,,,,,,0,120,120,12,3,-4.0,10,1,10,0.45045045045045,0,,,,,,,0,,,,,,,0,,,,,,,20210120,https://comicbook.com/anime/news/one-piece-garp-marine-admiral-refusal-explained-gold-roger-god-valley-anime/
965244629,20210120,202101,2021,2021.0548,USAMED,REUTERS,USA,,,,,MED,,,BUS,BUSINESS,,,,,,BUS,,,1,111,111,11,3,-2.0,25,1,25,0.163179389381643,1,Hong Kong,HK,HK,22.25,114.166667,HK,1,Hong Kong,HK,HK,22.25,114.166667,HK,1,Hong Kong,HK,HK,22.25,114.166667,HK,20210120,https://www.reuters.com/www.reuters.com/article/us-goldman-sachs-results-breakingviews/breakingviews-goldman-progress-masked-by-trading-boom-bad-deeds-idUSKBN29O1YF
965245165,20210120,202101,2021,2021.0548,,,,,,,,,,,GHA,GHANA,GHA,,,,,,,,1,042,042,04,1,1.9,8,2,8,7.4801287390361,0,,,,,,,4,"Bibiani, Ghana (general), Ghana",GH,GH00,6.46346,-2.31938,-2070987,4,"Bibiani, Ghana (general), Ghana",GH,GH00,6.46346,-2.31938,-2070987,20210120,https://www.marketwatch.com/press-release/otc-markets-group-welcomes-newcore-gold-ltd-to-otcqx-2021-01-19
965245293,20210120,202101,2021,2021.0548,BUS,COMPANIES,,,,,,BUS,,,,,,,,,,,,,1,010,010,01,1,0.0,23,2,13,7.4801287390361,4,"Bibiani, Ghana (general), Ghana",GH,GH00,6.46346,-2.31938,-2070987,0,,,,,,,4,"Bibiani, Ghana (general), Ghana",GH,GH00,6.46346,-2.31938,-2070987,20210120,https://www.marketwatch.com/press-release/otc-markets-group-welcomes-newcore-gold-ltd-to-otcqx-2021-01-19
965245603,20210120,202101,2021,2021.0548,GHA,GHANA,GHA,,,,,,,,,,,,,,,,,,1,043,043,04,1,2.8,8,2,8,7.4801287390361,4,"Bibiani, Ghana (general), Ghana",GH,GH00,6.46346,-2.31938,-2070987,0,,,,,,,4,"Bibiani, Ghana (general), Ghana",GH,GH00,6.46346,-2.31938,-2070987,20210120,https://www.marketwatch.com/press-release/otc-markets-group-welcomes-newcore-gold-ltd-to-otcqx-2021-01-19
965249955,20210120,202101,2021,2021.0548,,,,,,,,,,,FIN,FINLAND,FIN,,,,,,,,1,042,042,04,1,1.9,5,1,5,4.52127659574468,0,,,,,,,1,Finland,FI,FI,64,26,FI,1,Finland,FI,FI,64,26,FI,20210120,http://www.proactiveinvestors.com/companies/news/938361/aurion-resources-says-latest-b2gold-discoveries-highlight-potential-of-its-finnish-jv-area-938361.html
