date,text
20140605,"Gold prices are expected to rise due to ECB stimulus plans, while a US gang targeting Indians for gold was busted. A clash at the Golden Temple in India injured several people, and North Korean gold taints US firms. Also, several companies announced new gold mining projects and exploration results."
20140606,"Gold prices are expected to rise due to ECB stimulus plans, while a US gang targeting Indians for gold was busted. A clash at the Golden Temple in India injured several people, and North Korean gold taints US firms. Also, several companies announced new gold mining projects and exploration results."
20140607,"Gold spot premiums fell as the market started discounting duty cuts.
Falling gold prices are attracting more buyers.
Residents in some areas have found gold flakes in their tap water, though they were not pleased with the discovery.
"
20140608,"Gold spot premiums fell as the market started discounting duty cuts.
Falling gold prices are attracting more buyers.
Residents in some areas have found gold flakes in their tap water, though they were not pleased with the discovery.
"
20140609,"Gold prices experienced a tumble in futures trading, influenced by factors such as a stronger dollar and expectations of higher interest rates. Simultaneously, demand for gold is rising in certain markets, and some companies are expanding gold mining operations through joint ventures and acquisitions. Additionally, there are reports of increased gold smuggling, leading to proposals for higher import duties in some regions.
"
20140610,"Gold prices experienced a tumble in futures trading, influenced by factors such as a stronger dollar and expectations of higher interest rates. Simultaneously, demand for gold is rising in certain markets, and some companies are expanding gold mining operations through joint ventures and acquisitions. Additionally, there are reports of increased gold smuggling, leading to proposals for higher import duties in some regions.
"
20140611,"Gold prices are fluctuating near two-week highs due to U.S. economic data and unrest in Iraq. India is considering rationalizing gold import duties, while China, the world's largest gold consumer, is actively mining gold. A fugitive has been accused of a fake gold bid and fled to China."
20140612,"Gold prices are fluctuating near two-week highs due to U.S. economic data and unrest in Iraq. India is considering rationalizing gold import duties, while China, the world's largest gold consumer, is actively mining gold. A fugitive has been accused of a fake gold bid and fled to China."
20140613,"Gold prices are experiencing a surge due to escalating conflict in Iraq and tensions in the Middle East. There have been multiple reports of gold smuggling attempts, with authorities seizing illicit gold from individuals at airports.
Several companies are making strategic moves, such as Luna Gold announcing the election of directors and Goldrush executing a definitive agreement for the sale of the Ronguen Gold Project to Nord Gold NV.
"
20140614,"Gold prices are experiencing a surge due to escalating conflict in Iraq and tensions in the Middle East. There have been multiple reports of gold smuggling attempts, with authorities seizing illicit gold from individuals at airports.
Several companies are making strategic moves, such as Luna Gold announcing the election of directors and Goldrush executing a definitive agreement for the sale of the Ronguen Gold Project to Nord Gold NV.
"
20140615,"Gold prices increased to a three-week high due to violence in Iraq, which boosted demand, but later dropped as investors weighed the situation ahead of a Federal Reserve meeting. Lower gold production and hoarding led to a 20% decline in gold declaration. A businessman was arrested for diverting gold, and authorities seized gold from passengers at airports."
20140616,"Gold prices increased to a three-week high due to violence in Iraq, which boosted demand, but later dropped as investors weighed the situation ahead of a Federal Reserve meeting. Lower gold production and hoarding led to a 20% decline in gold declaration. A businessman was arrested for diverting gold, and authorities seized gold from passengers at airports."
20140617,"Gold prices experienced a slight decrease following a six-day rally, influenced by global cues and profit-taking activities. China National Gold is in discussions with Barrick Gold regarding potential partnerships. The gold industry is considering reforms to its century-old benchmark amidst intense scrutiny.
"
20140618,"Gold prices experienced a slight decrease following a six-day rally, influenced by global cues and profit-taking activities. China National Gold is in discussions with Barrick Gold regarding potential partnerships. The gold industry is considering reforms to its century-old benchmark amidst intense scrutiny.
"
20140619,"Several reports indicate gold smuggling and seizures, particularly in India and along the Indo-Bangladesh border. An ex-Goldman Sachs trader is in dispute over his bonus, claiming it was too low. Additionally, there are ongoing investigations into potential manipulation of the gold fix.
"
20140620,"Several reports indicate gold smuggling and seizures, particularly in India and along the Indo-Bangladesh border. An ex-Goldman Sachs trader is in dispute over his bonus, claiming it was too low. Additionally, there are ongoing investigations into potential manipulation of the gold fix.
"
20140621,Sibanye Gold expresses interest in platinum mines acquisition. Four illegal miners were shot dead at a South Africa gold mine. Customs officials seized gold worth Rs 8 Cr.
20140622,Sibanye Gold expresses interest in platinum mines acquisition. Four illegal miners were shot dead at a South Africa gold mine. Customs officials seized gold worth Rs 8 Cr.
20140623,"Gold prices climbed to a 2-month high due to the insurgency in Iraq and the US economic outlook. South African court barred AMCU union from striking in gold sector and eight gold miners were shot dead at an illegal mine near Johannesburg. Tamil Nadu airports see big jump in gold smuggling cases and five Indians held in Bangladesh for gold smuggling.
"
20140624,"Gold prices climbed to a 2-month high due to the insurgency in Iraq and the US economic outlook. South African court barred AMCU union from striking in gold sector and eight gold miners were shot dead at an illegal mine near Johannesburg. Tamil Nadu airports see big jump in gold smuggling cases and five Indians held in Bangladesh for gold smuggling.
"
20140625,"China and Singapore are competing to become the new gold pricing center in Asia, potentially challenging London's established role. Singapore is set to launch the world's first wholesale kilobar gold contract. Gold prices experienced a slight decrease as investors analyzed U.S. economic data, but overall, gold prices had been rising for six consecutive days.
"
20140626,"China and Singapore are competing to become the new gold pricing center in Asia, potentially challenging London's established role. Singapore is set to launch the world's first wholesale kilobar gold contract. Gold prices experienced a slight decrease as investors analyzed U.S. economic data, but overall, gold prices had been rising for six consecutive days.
"
20140627,"Gold prices are expected to be influenced by the upcoming jobs report during a holiday-shortened trading week.
Customs officials seized smuggled gold at airports in Mumbai and Chittagong, while illegal gold was also seized from Tribhuvan International Airport.
A court in Brazil revoked the license for a Canadian gold mine in the Amazon, and a gold mining permit in Idaho's Payette Forest was also revoked."
20140628,"Gold prices are expected to be influenced by the upcoming jobs report during a holiday-shortened trading week.
Customs officials seized smuggled gold at airports in Mumbai and Chittagong, while illegal gold was also seized from Tribhuvan International Airport.
A court in Brazil revoked the license for a Canadian gold mine in the Amazon, and a gold mining permit in Idaho's Payette Forest was also revoked."
20140629,Gold prices are heading for a quarterly rise due to global tensions and investors assessing the U.S. economy. Differential gold import levies may cost India and the government hikes import tariff value on gold and silver. A new California gold rush is underway and it's heading to Ireland and a new kilobar contract is likely to spark gold demand.
20140630,Gold prices are heading for a quarterly rise due to global tensions and investors assessing the U.S. economy. Differential gold import levies may cost India and the government hikes import tariff value on gold and silver. A new California gold rush is underway and it's heading to Ireland and a new kilobar contract is likely to spark gold demand.
20140701,"Geopolitical tensions are pressuring gold and silver, while recent rallies fail to put shine back on gold. Gold is near a three-month high due to fund flows, and it rises as Ukraine fighting resumes. Government hikes import tariff value on gold and silver, and jewellers seek reduction in import duty on gold."
20140702,"Geopolitical tensions are pressuring gold and silver, while recent rallies fail to put shine back on gold. Gold is near a three-month high due to fund flows, and it rises as Ukraine fighting resumes. Government hikes import tariff value on gold and silver, and jewellers seek reduction in import duty on gold."
20140703,A gold strike at Wellington claims of paydirt comparable to Cadia. One man was held with 28 gold bars at Chittagong airport. Randgold boss seeks another big gold find. Asia gold buying subdued as prices head for fifth weekly gain.
20140704,A gold strike at Wellington claims of paydirt comparable to Cadia. One man was held with 28 gold bars at Chittagong airport. Randgold boss seeks another big gold find. Asia gold buying subdued as prices head for fifth weekly gain.
20140705,"Gold prices remained unchanged in Bangkok, while London's gold price fixing is under scrutiny, with analysts suggesting prices could rise. A businessman was apprehended at Delhi airport for gold smuggling, and 15 kg of gold nuggets were seized in another incident. Canada is monitoring Guyana's extractive sector amidst falling gold prices, and a suit against an Idaho gold mine exploration was dropped."
20140706,"Gold prices remained unchanged in Bangkok, while London's gold price fixing is under scrutiny, with analysts suggesting prices could rise. A businessman was apprehended at Delhi airport for gold smuggling, and 15 kg of gold nuggets were seized in another incident. Canada is monitoring Guyana's extractive sector amidst falling gold prices, and a suit against an Idaho gold mine exploration was dropped."
20140707,"Germany demands the US Federal Reserve to give them back their gold. India is expected to have increase in gold demand as Modi is seen easing import of gold. Also, the World Gold Council is hosting debate on gold price reform.
"
