date,text
20161029,Dubai Gold and Commodities Exchange is opening a vital trading link to the Chinese bullion market. Agricultural Bank of China joins DGCX as market maker for Shanghai Gold Futures Contract. RMB yuan weakens and China is purchasing gold overseas.
20161030,Dubai Gold and Commodities Exchange is opening a vital trading link to the Chinese bullion market. Agricultural Bank of China joins DGCX as market maker for Shanghai Gold Futures Contract. RMB yuan weakens and China is purchasing gold overseas.
20161031,"Gold rates in Vietnam and Egypt edged up due to global metal markets. Festive demand is likely to boost Indian gold coin sales. Endurance Gold Announces Gold Discovery at Elephant Mountain, Alaska.
"
20161101,"Gold rates in Vietnam and Egypt edged up due to global metal markets. Festive demand is likely to boost Indian gold coin sales. Endurance Gold Announces Gold Discovery at Elephant Mountain, Alaska.
"
20161102,Customs officials seized 14 kg of gold at Dhaka airport. Corvus Gold Announces Exploration Results from New Western Eastern Zone. MMTC to sell sovereign gold coins to NRIs.
20161103,Customs officials seized 14 kg of gold at Dhaka airport. Corvus Gold Announces Exploration Results from New Western Eastern Zone. MMTC to sell sovereign gold coins to NRIs.
20161104,"The Guyanese government is implementing reforms for the Gold Board, including increased checks and more licensing powers. Wall Street anticipates gold prices to increase during the U.S. election week. Investors are turning to gold as a safe haven asset amid concerns about a potential Trump victory."
20161105,"The Guyanese government is implementing reforms for the Gold Board, including increased checks and more licensing powers. Wall Street anticipates gold prices to increase during the U.S. election week. Investors are turning to gold as a safe haven asset amid concerns about a potential Trump victory."
20161106,"Gold prices experienced a one-day drop due to the FBI clearing Mrs. Clinton, but a contested victory for Clinton could drive gold prices up. There are reports of gold smuggling attempts in India and a gold mining company receiving a loan for expansion. Gold Fields is expanding in Australia and acquiring interest in a project there."
20161107,"Gold prices experienced a one-day drop due to the FBI clearing Mrs. Clinton, but a contested victory for Clinton could drive gold prices up. There are reports of gold smuggling attempts in India and a gold mining company receiving a loan for expansion. Gold Fields is expanding in Australia and acquiring interest in a project there."
20161108,"-Following Trumps victory gold prices have been volatile.
-Gold prices Zoom to Rs 34,000 as people rush to use up cash at home.
-A former mint employee has been found guilty of smuggling gold."
20161109,"-Following Trumps victory gold prices have been volatile.
-Gold prices Zoom to Rs 34,000 as people rush to use up cash at home.
-A former mint employee has been found guilty of smuggling gold."
20161110,"Gold prices surged after the US election, with investors seeking safe-haven assets amidst market uncertainty. Goldman Sachs is considering moving assets from London to Frankfurt due to Brexit. India's crackdown on black money has spurred gold prices to a three-year high.
"
20161111,"Gold prices surged after the US election, with investors seeking safe-haven assets amidst market uncertainty. Goldman Sachs is considering moving assets from London to Frankfurt due to Brexit. India's crackdown on black money has spurred gold prices to a three-year high.
"
20161112,"Kirkland Lake rejects alternative Gold Fields, Silver Standard bids valued at $1.44 billion.
Banks in Kathmandu, Nepal are urged to import smaller unit gold bars. Fuel, gold, and flour prices decreased in Kabul, Afghanistan.
Mining group is looking at Livengood spot for potential large-scale gold mining."
20161113,"Kirkland Lake rejects alternative Gold Fields, Silver Standard bids valued at $1.44 billion.
Banks in Kathmandu, Nepal are urged to import smaller unit gold bars. Fuel, gold, and flour prices decreased in Kabul, Afghanistan.
Mining group is looking at Livengood spot for potential large-scale gold mining."
20161114,"Here are the topics based on the provided URLs:

-Egypt is preparing to launch its first gold mining tender since 2009 in early December, inviting gold miners to explore.
-Some reports discussed production updates and exploration programs for gold mining companies like Goldsource, Riverside Resources, and Pancontinental Gold, while others covered drilling results and resource estimations at various gold projects.
-Also, the demonetization in India has led to increased scrutiny of gold investments and potential crackdowns on gold transactions.
"
20161115,"Here are the topics based on the provided URLs:

-Egypt is preparing to launch its first gold mining tender since 2009 in early December, inviting gold miners to explore.
-Some reports discussed production updates and exploration programs for gold mining companies like Goldsource, Riverside Resources, and Pancontinental Gold, while others covered drilling results and resource estimations at various gold projects.
-Also, the demonetization in India has led to increased scrutiny of gold investments and potential crackdowns on gold transactions.
"
20161116,"After India's currency ban, gold prices skyrocketed to $2,800/oz due to panic. Alecto falls behind on Zambia gold project as it moves to complete financing plan. Cordoba Minerals and HPX initiate Phase Three of their Joint Venture at the San Matias Copper-Gold project."
20161117,"After India's currency ban, gold prices skyrocketed to $2,800/oz due to panic. Alecto falls behind on Zambia gold project as it moves to complete financing plan. Cordoba Minerals and HPX initiate Phase Three of their Joint Venture at the San Matias Copper-Gold project."
20161118,"Here's a summary of the gold-related news from the provided links:

1.  Asanko Gold provided its 2017 guidance and site visit presentations.
2.  Customs are investigating gold sales, and there have been seizures of smuggled and counterfeit gold.
3.  There are also reports about gold mining activities, deals between gold companies, and price forecasts for gold.
"
