date,text
20151226,"Here's a summary of gold-related news based on the provided links:

Short interest has decreased in Golden Star Resources Ltd. and Novagold Resources Inc. An analyst has lifted the FY2015 EPS estimates for Barrick Gold Corp. and Scotiabank has issued FY2017 earnings estimate for Yamana Gold Inc. Meanwhile, authorities have held people for smuggling gold and diamonds, and robots are being developed for seabed mining."
20151227,"Here's a summary of gold-related news based on the provided links:

Short interest has decreased in Golden Star Resources Ltd. and Novagold Resources Inc. An analyst has lifted the FY2015 EPS estimates for Barrick Gold Corp. and Scotiabank has issued FY2017 earnings estimate for Yamana Gold Inc. Meanwhile, authorities have held people for smuggling gold and diamonds, and robots are being developed for seabed mining."
20151228,"Several reports discuss gold smuggling attempts, with authorities in India and Bangladesh seizing significant quantities of smuggled gold.
Additionally, a major gold deposit was found, and gold fever is building.
Some analysts predict that silver will outperform gold in 2016, while investors in India are showing a negative sentiment towards gold ETFs."
20151229,"Several reports discuss gold smuggling attempts, with authorities in India and Bangladesh seizing significant quantities of smuggled gold.
Additionally, a major gold deposit was found, and gold fever is building.
Some analysts predict that silver will outperform gold in 2016, while investors in India are showing a negative sentiment towards gold ETFs."
20151230,"Here's a summary of gold market news from the provided links:

1.  Gold Fields Limited (GFI) was trading 2.2% higher.
2.  India and Iran are considering ditching the dollar in favor of gold for oil transactions.
3.  Mumbai Customs arrested a French couple for gold smuggling, and two French nationals were caught smuggling gold worth over Rs 60 lakh."
20151231,"Here's a summary of gold market news from the provided links:

1.  Gold Fields Limited (GFI) was trading 2.2% higher.
2.  India and Iran are considering ditching the dollar in favor of gold for oil transactions.
3.  Mumbai Customs arrested a French couple for gold smuggling, and two French nationals were caught smuggling gold worth over Rs 60 lakh."
20160101, Barrons predicts gold is likely to remain tarnished in 2016. Mali produced 50 tons of gold in 2015 and expects to produce more in 2016. A client breaks silence on the trail of Dubai's stolen gold and a fascinating detail emerges.
20160102, Barrons predicts gold is likely to remain tarnished in 2016. Mali produced 50 tons of gold in 2015 and expects to produce more in 2016. A client breaks silence on the trail of Dubai's stolen gold and a fascinating detail emerges.
20160103,"Gold prices climbed above $1,080/oz amid Middle East tensions, driven by safe-haven demand. Mali produced 50 tons of gold in 2015 and expects more in 2016, while Guyana is seeking US help with gold smuggling court cases. A new digital currency backed by physical gold has been introduced."
20160104,"Gold prices climbed above $1,080/oz amid Middle East tensions, driven by safe-haven demand. Mali produced 50 tons of gold in 2015 and expects more in 2016, while Guyana is seeking US help with gold smuggling court cases. A new digital currency backed by physical gold has been introduced."
20160105,Gold is gaining in Asia due to continued risk aversion amidst Middle East tensions. A worker for Centerra Gold was arrested in Kyrgyzstan for a controversial remark. Government is considering setting up gold board.
20160106,Gold is gaining in Asia due to continued risk aversion amidst Middle East tensions. A worker for Centerra Gold was arrested in Kyrgyzstan for a controversial remark. Government is considering setting up gold board.
20160107,"Gold prices have hit a seven-week high, possibly due to investors seeking safe-haven assets amidst global economic uncertainty. Smuggling of gold continues to be a problem in some regions, with the FBI assisting Guyana in investigating illegal gold exportation. China's central bank increased its gold reserves in December, and a Chinese bank is reportedly the mystery buyer of a massive gold vault in London.
"
20160108,"Gold prices have hit a seven-week high, possibly due to investors seeking safe-haven assets amidst global economic uncertainty. Smuggling of gold continues to be a problem in some regions, with the FBI assisting Guyana in investigating illegal gold exportation. China's central bank increased its gold reserves in December, and a Chinese bank is reportedly the mystery buyer of a massive gold vault in London.
"
20160109,"Banks Island Gold Ltd. has filed for bankruptcy. A giant golden statue of Mao, nearly finished, was brought down. Three Indians were held in Nepal for gold smuggling.

"
20160110,"Banks Island Gold Ltd. has filed for bankruptcy. A giant golden statue of Mao, nearly finished, was brought down. Three Indians were held in Nepal for gold smuggling.

"
20160111,"Based on the provided URLs, here's a summary of gold-related topics:

-Goldman Sachs suggests waiting for an entry point in the market.
-Eldorado Gold is facing issues in Greece, leading to potential job losses and has urged Greece to focus on business over politics.
-There are reports of gold mining conflicts, seizures of illegal gold, and gold production projections in various regions."
20160112,"Based on the provided URLs, here's a summary of gold-related topics:

-Goldman Sachs suggests waiting for an entry point in the market.
-Eldorado Gold is facing issues in Greece, leading to potential job losses and has urged Greece to focus on business over politics.
-There are reports of gold mining conflicts, seizures of illegal gold, and gold production projections in various regions."
20160113,Eldorado Gold's market capitalization decreased by $500 million after suspending work in Greece. Regulators are blaming management for a fatal accident that happened at the Gold mine. India is now looking to South America for Gold.
20160114,Eldorado Gold's market capitalization decreased by $500 million after suspending work in Greece. Regulators are blaming management for a fatal accident that happened at the Gold mine. India is now looking to South America for Gold.
20160115,Goldman Sachs reached a settlement of $5 billion over mortgage-backed securities. The settlement is related to the sale of subpar mortgages in the lead-up to the financial crisis. A new Shariah standard for gold products has been launched.
20160116,Goldman Sachs reached a settlement of $5 billion over mortgage-backed securities. The settlement is related to the sale of subpar mortgages in the lead-up to the financial crisis. A new Shariah standard for gold products has been launched.
20160117,"Gold prices are gaining for the second day in a row due to risk aversion and increased demand for safe-haven assets. Somnath temple is planning to invest in gold monetisation scheme. The Iranian president hails nuclear deal as golden page of history.
"
20160118,"Gold prices are gaining for the second day in a row due to risk aversion and increased demand for safe-haven assets. Somnath temple is planning to invest in gold monetisation scheme. The Iranian president hails nuclear deal as golden page of history.
"
20160119,"Several gold mining companies are trying to reassure stockholders about executive pay. Mali is expecting increased gold production volume in 2016. Randgold Resources is signing new joint ventures in Congo. In a besieged Syrian city, hungry residents are selling gold for food."
20160120,"Several gold mining companies are trying to reassure stockholders about executive pay. Mali is expecting increased gold production volume in 2016. Randgold Resources is signing new joint ventures in Congo. In a besieged Syrian city, hungry residents are selling gold for food."
20160121,"Gold stocks are outperforming South African equities, while central planners are discussing gold's role. Aurion Resources signed a deal with B2Gold for gold projects in Northern Finland. Meanwhile, gold has surpassed $1100 as traders chase safety."
20160122,"Gold stocks are outperforming South African equities, while central planners are discussing gold's role. Aurion Resources signed a deal with B2Gold for gold projects in Northern Finland. Meanwhile, gold has surpassed $1100 as traders chase safety."
20160123,"Gold prices experienced a weekly gain, supported by strong U.S. Mint bullion sales. Market analysts are setting expectations for the Q1 2017 earnings of various gold mining companies. The London Metal Exchange is in discussions with banks to list London gold contracts."
20160124,"Gold prices experienced a weekly gain, supported by strong U.S. Mint bullion sales. Market analysts are setting expectations for the Q1 2017 earnings of various gold mining companies. The London Metal Exchange is in discussions with banks to list London gold contracts."
20160125,"Gold prices have risen to nearly a three-month high due to safe-haven demand, as Chinese gold imports soar with investors losing faith in collapsing stock markets and currency. A GFMS updated survey shows cautiously optimistic on gold price to average $1,164/oz. Also, it has been suggested a bullion bank for gold scheme.
"
20160126,"Gold prices have risen to nearly a three-month high due to safe-haven demand, as Chinese gold imports soar with investors losing faith in collapsing stock markets and currency. A GFMS updated survey shows cautiously optimistic on gold price to average $1,164/oz. Also, it has been suggested a bullion bank for gold scheme.
"
20160127,"Gold prices are holding near a 12-week high as the U.S. dollar faces pressure ahead of the U.S. Federal Reserve meeting, while some analysts believe that gold's rally won't last. Germany is continuing to move its gold reserves back to Frankfurt. Kazakhstan increased its gold holdings in 2015."
20160128,"Gold prices are holding near a 12-week high as the U.S. dollar faces pressure ahead of the U.S. Federal Reserve meeting, while some analysts believe that gold's rally won't last. Germany is continuing to move its gold reserves back to Frankfurt. Kazakhstan increased its gold holdings in 2015."
20160129,Cormark analysts cut earnings estimates for Eldorado Gold Corp. Iran's president hails a golden page in Iran's history as sanctions are lifted. Sanders is releasing a new ad on Goldman Sachs' role in the economy. Germany has repatriated over 366 tonnes of gold from New York and Paris. A treasure hunter disappears while searching for $2 million in gold. A man tries to smuggle gold worth Rs 1 cr in fracture cast. Germany moved of 189 tonnes of gold from New York Fed vaults.
20160130,Cormark analysts cut earnings estimates for Eldorado Gold Corp. Iran's president hails a golden page in Iran's history as sanctions are lifted. Sanders is releasing a new ad on Goldman Sachs' role in the economy. Germany has repatriated over 366 tonnes of gold from New York and Paris. A treasure hunter disappears while searching for $2 million in gold. A man tries to smuggle gold worth Rs 1 cr in fracture cast. Germany moved of 189 tonnes of gold from New York Fed vaults.
20160131,"Several stories discuss Netaji Subhas Chandra Bose's gold tooth, which may be in ashes in Tokyo.
Additionally, in Bangladesh, 62kg of gold and currencies were seized.
Gold futures rallied amid a global metal crash."
20160201,"Several stories discuss Netaji Subhas Chandra Bose's gold tooth, which may be in ashes in Tokyo.
Additionally, in Bangladesh, 62kg of gold and currencies were seized.
Gold futures rallied amid a global metal crash."
20160202,"Goldman Sachs wallets are closing after bankers' bets, while Bernie Sanders targets Goldman Sachs and Wall Street in his latest campaign ad. Duckworth also slams Goldman Sachs, despite investing in the financial firm, and Hong Kong Regulator censures Goldman on Wing Hang Dealings. Additionally, gold demand is expected to increase in China as investors seek haven assets, and gold hits a new high in the market.
"
20160203,"Goldman Sachs wallets are closing after bankers' bets, while Bernie Sanders targets Goldman Sachs and Wall Street in his latest campaign ad. Duckworth also slams Goldman Sachs, despite investing in the financial firm, and Hong Kong Regulator censures Goldman on Wing Hang Dealings. Additionally, gold demand is expected to increase in China as investors seek haven assets, and gold hits a new high in the market.
"
20160204,"Goldman Sachs suggests that iron ore is facing increased pressure due to steel production cuts in China. The golden triangle of Russia, China, and Iran is expected to drive the world away from US imperial control. There is news about Biman DGM chief who was arrested over gold smuggling link.
"
20160205,"Goldman Sachs suggests that iron ore is facing increased pressure due to steel production cuts in China. The golden triangle of Russia, China, and Iran is expected to drive the world away from US imperial control. There is news about Biman DGM chief who was arrested over gold smuggling link.
"
20160206,"Here are some potential topics about gold:

-Gold ended the week near a 3.5-month high, while US Mint silver coins also experienced a jump.
-The Australian gold price has soared to over $1650 an ounce, putting ASX gold plays in focus.
-A teenager in Germany found a $19,000 gold bar in an Alpine lake and was allowed to keep it."
